id,comment,like,timestamp
andrewo723,我皮諾可超強！可以直接電死！,1064 ,2022-04-24T12:41:35.000Z
wesleyyeah1122,我都選克里西欸,442 ,2022-04-24T12:43:32.000Z
k870640,他沒女朋友，幹嘛問他呢,417 ,2022-04-24T12:41:29.000Z
x0920887605,先選塔位再選排位,332 ,2022-04-24T12:47:25.000Z
changlung_hung,我帶愛麗絲放大在她身上，延緩病痛,257 ,2022-04-24T12:42:33.000Z
angelicfans0,玩了幾千場諾可希，抓了幾千隻AD，依然抓不住妳的心,236 ,2022-04-24T12:42:51.000Z
curryguei_0529,@ares_sfc_ @w92hf7xje3n @cloudy80295 @doris_0917_,2 ,2022-04-24T12:45:25.000Z
leon_1481,@yunchan0623 @f_i_s_h_e_r__ @chen_guanhannn,0,2022-04-24T13:07:49.000Z
yeetungso,@mr_cyrusss @cls_brother,1 ,2022-04-24T12:47:05.000Z
lu__stayalive,@malorycheng 你選什麼 @sharonya402 阿萊？,3 ,2022-04-24T12:51:47.000Z
psalmeustoma,@sabrinayew @janet_0215 😂,1 ,2022-04-24T13:02:17.000Z
snsnya,@hyun_1205 @leon11362,0,2022-04-24T12:49:29.000Z
error__0504,@chaze_chen  @kt666___  選哪隻？,1 ,2022-04-24T13:08:10.000Z
_simonumum____,@li_2001.12.09 @chen_you_1314 我選潘尼斯 你們怎麼看：）,0,2022-04-24T12:45:10.000Z
dcy__11,@px__0705,0,2022-04-24T12:46:04.000Z
cai__0809,@eric_wei930,2 ,2022-04-24T12:45:42.000Z
jacklinwooooo,@_uncle.li,0,2022-04-24T12:43:33.000Z
ws._______.marvel,@ed_war_d._.02.12 我選布萊特 可以延遲三秒的疼痛 又兼具娛樂性,1 ,2022-04-24T12:45:33.000Z
jamesweiwei,@iiiiiiiiiiiirene 🤣🤣🤣,2 ,2022-04-24T12:55:15.000Z
xuan_88.03.21,@kox1314r,0,2022-04-24T13:02:40.000Z
